ax,ay,az,gx,gy,gz,clase_id,nombre_clase,origen
5.9904757,2.456526,7.6688623,0.20352992,-0.04709588,0.10875784,3,izquierda,single/left_single.csv
6.0599093,2.5379312,7.7502675,0.22918625,-0.053815395,0.10875784,3,izquierda,single/left_single.csv
5.8420305,2.5235655,7.5443597,0.27500117,-0.048928473,0.08554496,3,izquierda,single/left_single.csv
5.794145,2.52596,7.393521,0.2780555,-0.014720019,0.0812689,3,izquierda,single/left_single.csv
6.035967,2.6073654,7.0319853,0.27439028,-0.02632646,0.094707936,3,izquierda,single/left_single.csv
6.1748347,2.6121538,7.0295906,0.2633947,-0.058091454,0.09776226,3,izquierda,single/left_single.csv
5.7031627,2.4469488,7.350424,0.16565627,0.027429681,0.044006124,3,izquierda,single/left_single.csv
6.1030064,2.5570855,7.3839436,0.17298664,-0.03121338,0.077603705,3,izquierda,single/left_single.csv
6.074275,2.6073654,7.1924014,0.1949778,-0.06297837,0.09592967,3,izquierda,single/left_single.csv
5.873156,2.5522969,7.518023,0.16932146,-0.040987223,0.08554496,3,izquierda,single/left_single.csv
5.906676,2.5187771,7.537177,0.20414078,-0.15888421,0.08371236,3,izquierda,single/left_single.csv
6.028784,2.700742,7.0774765,0.2371275,-0.16377114,0.11059043,3,izquierda,single/left_single.csv
6.2059603,2.8013015,7.0511394,0.26583818,-0.08069347,0.14174457,3,izquierda,single/left_single.csv
6.0934296,2.7773588,6.962551,0.25484258,-0.08619125,0.14602062,3,izquierda,single/left_single.csv
6.0766697,2.762993,6.996071,0.23224059,-0.12834096,0.12158601,3,izquierda,single/left_single.csv
6.124555,2.7510219,7.2378926,0.19986473,-0.1258975,0.11181217,3,izquierda,single/left_single.csv
6.2586346,2.7390504,7.2714124,0.17604099,-0.11612365,0.114866495,3,izquierda,single/left_single.csv
6.091035,2.7294734,7.0008597,0.17726271,-0.101462886,0.11669909,3,izquierda,single/left_single.csv
6.2586346,2.80609,7.1133904,0.20352992,-0.034878574,0.11608822,3,izquierda,single/left_single.csv
